Created on 04-28-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-04-27 11-PM,XRPUSD,0.82,0.822,0.8028,0.8028,108000.97,88117.33
2018-04-27 10-PM,XRPUSD,0.8169,0.8263,0.812,0.82,109677.84,89926.4
2018-04-27 09-PM,XRPUSD,0.815,0.8238,0.8062,0.8169,239903.43,195470.16
2018-04-27 08-PM,XRPUSD,0.827,0.8345,0.8063,0.815,836957.52,684488.18
2018-04-27 07-PM,XRPUSD,0.845,0.8475,0.8261,0.827,680821.25,570322.19
2018-04-27 06-PM,XRPUSD,0.8471,0.8541,0.8445,0.845,192425.47,163250.2
2018-04-27 05-PM,XRPUSD,0.8459,0.851,0.8436,0.8471,254080.93,215670.87
2018-04-27 04-PM,XRPUSD,0.8398,0.8478,0.8394,0.8459,277599.36,234572.54
2018-04-27 03-PM,XRPUSD,0.8442,0.8461,0.8338,0.8398,294772.8,247334.13
2018-04-27 02-PM,XRPUSD,0.8426,0.8453,0.841,0.8442,142743.34,120192.08
2018-04-27 01-PM,XRPUSD,0.8483,0.8516,0.8376,0.8426,601549.3,507180.02
2018-04-27 12-PM,XRPUSD,0.8522,0.8553,0.8462,0.8483,232250.21,197549.42
2018-04-27 11-AM,XRPUSD,0.8549,0.8573,0.847,0.8522,512950.62,435627.12
2018-04-27 10-AM,XRPUSD,0.8528,0.8622,0.8483,0.8549,367222.57,314570.64
2018-04-27 09-AM,XRPUSD,0.8417,0.8549,0.8409,0.8528,461798.18,392056.86
2018-04-27 08-AM,XRPUSD,0.8325,0.8478,0.8325,0.8417,439967.71,370718.07
2018-04-27 07-AM,XRPUSD,0.8387,0.8389,0.8305,0.8325,319834.45,266954.0
2018-04-27 06-AM,XRPUSD,0.83,0.841,0.8298,0.8387,136975.1,114360.32
2018-04-27 05-AM,XRPUSD,0.836,0.8389,0.83,0.83,227241.21,189599.01
2018-04-27 04-AM,XRPUSD,0.8281,0.8374,0.8205,0.836,156732.23,130234.68
2018-04-27 03-AM,XRPUSD,0.8404,0.8423,0.8268,0.8281,412719.61,343798.7
2018-04-27 02-AM,XRPUSD,0.8406,0.8432,0.838,0.8404,261849.97,219805.91
2018-04-27 01-AM,XRPUSD,0.8378,0.8476,0.8378,0.8406,217941.11,183828.52
2018-04-27 12-AM,XRPUSD,0.8488,0.8488,0.8334,0.8378,524325.65,440584.89
2018-04-26 11-PM,XRPUSD,0.843,0.8499,0.8379,0.8488,589046.46,497102.29
2018-04-26 10-PM,XRPUSD,0.8282,0.847,0.8282,0.843,534429.21,449204.57
2018-04-26 09-PM,XRPUSD,0.8368,0.845,0.8271,0.8282,574294.88,480972.57
2018-04-26 08-PM,XRPUSD,0.817,0.842,0.817,0.8368,1433244.4,1195618.71
2018-04-26 07-PM,XRPUSD,0.812,0.8202,0.8099,0.817,152335.74,124396.42
2018-04-26 06-PM,XRPUSD,0.8129,0.8166,0.8067,0.812,119966.63,97278.79
2018-04-26 05-PM,XRPUSD,0.822,0.8256,0.81,0.8129,324929.99,265691.62
2018-04-26 04-PM,XRPUSD,0.8037,0.8256,0.7989,0.822,960390.74,780891.53
2018-04-26 03-PM,XRPUSD,0.803,0.8042,0.7945,0.8037,174312.72,139406.51
2018-04-26 02-PM,XRPUSD,0.7979,0.81,0.7877,0.803,809177.25,646324.89
2018-04-26 01-PM,XRPUSD,0.801,0.8038,0.7909,0.7979,267966.2,213524.83
2018-04-26 12-PM,XRPUSD,0.7965,0.81,0.796,0.801,462530.51,371826.16
2018-04-26 11-AM,XRPUSD,0.7953,0.806,0.7905,0.7965,276581.69,221102.77
2018-04-26 10-AM,XRPUSD,0.7803,0.8064,0.78,0.7953,588714.46,467366.21
2018-04-26 09-AM,XRPUSD,0.772,0.7849,0.7702,0.7803,377435.56,292967.72
2018-04-26 08-AM,XRPUSD,0.8012,0.805,0.772,0.772,546851.54,429617.25
2018-04-26 07-AM,XRPUSD,0.7968,0.8065,0.7942,0.8012,284193.97,227144.35
2018-04-26 06-AM,XRPUSD,0.8113,0.8183,0.7909,0.7968,570225.3,456529.93
2018-04-26 05-AM,XRPUSD,0.8162,0.831,0.8055,0.8113,684872.3,561488.86
2018-04-26 04-AM,XRPUSD,0.7974,0.8165,0.7935,0.8162,974481.25,786919.95
2018-04-26 03-AM,XRPUSD,0.7934,0.8044,0.786,0.7974,552623.79,437996.15
