Created on 04-28-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-04-27 11-PM,XMRUSD,254,254.6,250.5,250.5,39.11,9926.48
2018-04-27 10-PM,XMRUSD,251.46,254.59,250.05,254,70.35,17762.74
2018-04-27 09-PM,XMRUSD,251.8,254.62,250.05,251.46,89.96,22643.46
2018-04-27 08-PM,XMRUSD,256.53,257.2,251.3,251.8,128.12,32669.32
2018-04-27 07-PM,XMRUSD,260.25,262.13,256.53,256.53,216.87,56282.93
2018-04-27 06-PM,XMRUSD,260.93,263.5,260.2,260.25,114.09,29797.05
2018-04-27 05-PM,XMRUSD,262.7,263.78,260.75,260.93,502.27,131668.05
2018-04-27 04-PM,XMRUSD,257.89,262.78,256.7,262.7,70.49,18370.16
2018-04-27 03-PM,XMRUSD,259.8,260.77,252.93,257.89,194.46,49708.52
2018-04-27 02-PM,XMRUSD,258.81,259.8,258,259.8,267.33,69013.86
2018-04-27 01-PM,XMRUSD,260.49,261.55,256.58,258.81,115.28,29792.07
2018-04-27 12-PM,XMRUSD,261.95,262.62,259.26,260.49,869.22,226507.22
2018-04-27 11-AM,XMRUSD,263.11,265,261.95,261.95,70.55,18524.57
2018-04-27 10-AM,XMRUSD,265.8,265.8,263.11,263.11,140.18,37013.99
2018-04-27 09-AM,XMRUSD,261.16,265.8,260.5,265.8,63.11,16686.3
2018-04-27 08-AM,XMRUSD,263,265.87,261.16,261.16,132.76,35140.63
2018-04-27 07-AM,XMRUSD,262.9,264.1,261.3,263,73.87,19449.47
2018-04-27 06-AM,XMRUSD,261.5,264.1,261.2,262.9,109.58,28870.27
2018-04-27 05-AM,XMRUSD,263.45,263.45,260.9,261.5,66.05,17348.13
2018-04-27 04-AM,XMRUSD,259.4,263.45,258.59,263.45,118.26,30960.53
2018-04-27 03-AM,XMRUSD,266.9,267.8,259.35,259.4,79.1,20781.32
2018-04-27 02-AM,XMRUSD,266.1,267.83,265.6,266.9,68.88,18391.06
2018-04-27 01-AM,XMRUSD,266.63,268.77,266,266.1,163.12,43659.21
2018-04-27 12-AM,XMRUSD,269.96,269.96,263.64,266.63,94.99,25227.69
2018-04-26 11-PM,XMRUSD,266.13,272,264.67,269.96,1189.24,320734.68
2018-04-26 10-PM,XMRUSD,264.11,266.83,259.49,266.13,164.37,43356.83
2018-04-26 09-PM,XMRUSD,270.4,271.38,263.64,264.11,269.56,72371.89
2018-04-26 08-PM,XMRUSD,264.94,271.31,264,270.4,148.41,40004.08
2018-04-26 07-PM,XMRUSD,263.53,264.94,263.53,264.94,39.41,10389.01
2018-04-26 06-PM,XMRUSD,261.9,264.62,261.9,263.53,8.5,2234.13
2018-04-26 05-PM,XMRUSD,264.69,264.94,261.9,261.9,122.49,32398.66
2018-04-26 04-PM,XMRUSD,261.46,264.94,260,264.69,143.14,37706.89
2018-04-26 03-PM,XMRUSD,258.95,261.46,258.29,261.46,20.51,5337.82
2018-04-26 02-PM,XMRUSD,259.24,261.68,256.6,258.95,148.34,38665.07
2018-04-26 01-PM,XMRUSD,260.22,260.22,256.6,259.24,8.32,2155.84
2018-04-26 12-PM,XMRUSD,256.12,260.22,255.07,260.22,49.24,12769.97
2018-04-26 11-AM,XMRUSD,258.6,258.6,255.24,256.12,119.54,30885.68
2018-04-26 10-AM,XMRUSD,253.25,258.76,252.33,258.6,161.22,41587.39
2018-04-26 09-AM,XMRUSD,249.08,254.64,248,253.25,225.91,56196.44
2018-04-26 08-AM,XMRUSD,259,261.4,248.62,249.08,145.26,37001.31
2018-04-26 07-AM,XMRUSD,257.47,260.23,257.47,259,20.42,5301.2
2018-04-26 06-AM,XMRUSD,265.41,265.41,255.65,257.47,52.85,13679.16
2018-04-26 05-AM,XMRUSD,265.23,266.58,261.61,265.41,7.75,2044.91
2018-04-26 04-AM,XMRUSD,264,266.79,263.87,265.23,458.49,122287.31
2018-04-26 03-AM,XMRUSD,263.36,266.79,260.72,264,6.0,1586.68
2018-04-26 02-AM,XMRUSD,261.72,266.18,261.42,263.36,5.06,1334.83
2018-04-26 01-AM,XMRUSD,269.96,276.59,261.72,261.72,167.94,45560.07
2018-04-26 12-AM,XMRUSD,256.96,269.96,254.37,269.96,652.17,172035.82
2018-04-25 11-PM,XMRUSD,262.78,263.93,254.58,256.96,112.31,29001.86
2018-04-25 10-PM,XMRUSD,271.63,273.37,262.73,262.78,562.03,149730.75
2018-04-25 09-PM,XMRUSD,272.1,273.92,270.47,271.63,37.23,10170.4
2018-04-25 08-PM,XMRUSD,266,272.1,266,272.1,374.41,100892.19
2018-04-25 07-PM,XMRUSD,264,266.5,264,266,246.6,65473.1
2018-04-25 06-PM,XMRUSD,265.2,266.79,263.38,264,122.26,32508.92
2018-04-25 05-PM,XMRUSD,257.8,267.68,257.8,265.2,121.39,32102.72
2018-04-25 04-PM,XMRUSD,257,258.17,255.35,257.8,9.98,2568.26
2018-04-25 03-PM,XMRUSD,255.27,258.82,254.03,257,52.51,13429.63
2018-04-25 02-PM,XMRUSD,258.3,261.31,248.37,255.27,580.97,148210.85
2018-04-25 01-PM,XMRUSD,260.86,265.78,256.75,258.3,259.65,68149.84
2018-04-25 12-PM,XMRUSD,269.3,269.3,256.94,260.86,167.74,43818.51
2018-04-25 11-AM,XMRUSD,252,271,247.5,269.3,186.12,47976.68
2018-04-25 10-AM,XMRUSD,262.01,262.1,247.19,252,621.55,156155.0
2018-04-25 09-AM,XMRUSD,265,267.3,262.01,262.01,71.28,18860.22
2018-04-25 08-AM,XMRUSD,270.77,275,265,265,57.28,15475.49
2018-04-25 07-AM,XMRUSD,273.18,276.4,270.09,270.77,36.48,10007.13
2018-04-25 06-AM,XMRUSD,270.5,277,270.5,273.18,72.02,19901.38
2018-04-25 05-AM,XMRUSD,259.23,273.78,259.23,270.5,345.82,92170.7
2018-04-25 04-AM,XMRUSD,270,274.03,256.48,259.23,1186.63,317868.18
2018-04-25 03-AM,XMRUSD,284.5,285.81,267.6,270,495.52,135910.13
2018-04-25 02-AM,XMRUSD,287.29,287.4,284.3,284.5,78.38,22404.3
2018-04-25 01-AM,XMRUSD,285,287.29,280.76,287.29,61.93,17626.18
2018-04-25 12-AM,XMRUSD,291.76,293.2,279.19,285,301.97,85760.48
2018-04-24 11-PM,XMRUSD,293.61,295.76,291.76,291.76,40.68,11932.56
2018-04-24 10-PM,XMRUSD,297,297.26,293.2,293.61,51.74,15255.81
2018-04-24 09-PM,XMRUSD,295.24,297.6,293.22,297,89.84,26537.21
2018-04-24 08-PM,XMRUSD,296.11,298,295.18,295.24,36.43,10826.87
2018-04-24 07-PM,XMRUSD,297.08,298,295.64,296.11,33.21,9867.48
2018-04-24 06-PM,XMRUSD,297.13,297.51,294.08,297.08,95.04,28030.77
2018-04-24 05-PM,XMRUSD,294.37,297.13,293.32,297.13,103.49,30479.59
2018-04-24 04-PM,XMRUSD,291.93,295.38,291.93,294.37,66.57,19584.29
2018-04-24 03-PM,XMRUSD,291,293.1,289.55,291.93,145.25,42379.95
2018-04-24 02-PM,XMRUSD,290.15,292.45,284.66,291,671.61,192873.03
2018-04-24 01-PM,XMRUSD,298,298,289,290.15,80.38,23561.41
2018-04-24 12-PM,XMRUSD,295,298,292.54,298,120.84,35762.71
2018-04-24 11-AM,XMRUSD,292.95,295.57,292.24,295,146.25,43073.15
2018-04-24 10-AM,XMRUSD,292.07,294.57,290,292.95,620.12,181626.9
2018-04-24 09-AM,XMRUSD,287.39,292.57,286.06,292.07,187.01,54053.35
2018-04-24 08-AM,XMRUSD,288.72,290.11,287.39,287.39,281.09,81176.06
2018-04-24 07-AM,XMRUSD,289.26,290.42,284.46,288.72,169.23,48751.83
